What gender do you identify as?,What is your race/ethnicity? (Check all that apply),What is your year at New College?,"What is your Area of Concentration? (If not yet declared, put ""Undeclared"")",Which math classes have you taken at New College? (Check all that apply),"Are you considering, or did you ever consider a concentration in Math?",Are you interested in graduate school (in any discipline)?,"""I find mathematics interesting""","""Mathematics leads to many possible career opportunities""","""With practice, it is easy for me to improve my skills in math""","""Men are generally better suited to mathematics than women""","""Many people believe that men are better suited to mathematics than women""","""Some racial/ethnic groups are generally better suited to mathematics than others""","""Many people believe that some racial/ethnic groups are better suited to mathematics than others""",... compared to your high school student population?,... compared to the student population at New College?,... compared to your social group?,... compared to other students of your gender?,... compared to other students of your racial/ethnic group?,"Imagine the following scenario: in the first few weeks of a math class, you have had difficulty understanding the material and completing some of the assignments. How likely are you to drop the class?",Have you ever dropped or stopped attending a math class because you believed you were not going to do well?,"Compared to other subjects, do you feel more or less anxiety in mathematics classes?",How often are you concerned that your performance in math will confirm a negative stereotype about you?,Think about a typical math course you have taken at New College or imagine taking one. Did/do you feel comfortable or out of place?,Have you ever felt that you were perceived or treated differently in a math class due to your gender? ,Have you ever felt that you were perceived or treated differently in a math class due to your race or ethnicity? ,Are there any comments or thoughts you would like to add?
Male,White,Fourth Year,English,"Calc I, Calc II, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Average,Above average,Above average,Above average,Somewhat unlikely,No,About the same,Never,Somewhat out of place,No,No,
Female,White,First Year,Marine bio,Calc I,No,Yes,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Above average,Average,Above average,Average,Average,Somewhat unlikely,No,A little more anxiety,Rarely,Somewhat comfortable,No,No,
Female,White,Third Year,psychology,Mathematics for the sciences,No,Yes,Disagree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Below average,Above average,Average,Below average,Somewhat likely,No,Much more anxiety,Often,Somewhat out of place,"Yes, but not at New College",No,
Female,Hispanic or Latino,First Year,literature,"Additional math courses not listed, No math courses at New College",Yes,Yes,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Average,Average,Below average,Average,Above average,Somewhat unlikely,No,A little more anxiety,Rarely,Neutral,"Yes, but not at New College","Yes, but not at New College",nope
Female,Hispanic or Latino,Fourth Year,Environmental Studies,No math courses at New College,No,Maybe,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Above average,Average,Above average,Average,Average,Somewhat likely,No,Much less anxiety,Never,Neutral,No,No,
Female,White,Second Year,Undeclared,"Mathematics for the sciences, Calc I, Additional math courses not listed",Yes,Yes,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Above average,Above average,Average,Somewhat likely,Yes,A little less anxiety,Rarely,Neutral,"Yes, but not at New College","Yes, but not at New College",
Female,White,First Year,Undeclared,No math courses at New College,Yes,Yes,Neutral,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Above average,Below average,Below average,Below average,Average,Somewhat likely,No,Much more anxiety,Rarely,Very out of place,No,No,
Female,Hispanic or Latino,First Year,Marine Biology,Calc I,Yes,Maybe,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Above average,Average,Average,Average,Above average,Neutral,No,About the same,Often,Somewhat out of place,No,No,
Female,White,Second Year,English,No math courses at New College,No,Yes,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Below average,Below average,Well below average,Very likely,No,Much more anxiety,Never,Somewhat out of place,"Yes, but not at New College",No,
Male,"Hispanic or Latino, White",First Year,Physics and Mathematics,"Calc III, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Well above average,Well above average,Average,Well above average,Well above average,Very unlikely,No,Much less anxiety,Never,Very comfortable,No,No,
Female,Asian,Second Year,Biochemistry,"Calc I, Calc II, Calc III",No,Yes,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Above average,Average,Average,Above average,Average,Somewhat likely,No,Much more anxiety,Often,Very comfortable,"Yes, but not at New College","Yes, but not at New College","As an asian american, average performance in math is considered poor with respect to our culture. I perform average,possibly below average, on calc III and some students ask me for help based on the stereotype that Asians are good at math. It really discourages me since my average performance in calc is not what the other students expect. I often get comments like ""really? You did worse than I did, that's suprising"". It's a microaggression that makes failure seem more daunting than it really is. Because of this, I often shy away from math despite the fact that I need more help."
Female,White,Second Year,International Studies,No math courses at New College,No,Yes,Agree,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Well below average,Well below average,Below average,Below average,Somewhat likely,No,A little more anxiety,Never,Very out of place,No,No,
Male,Arab,First Year,Applied mathematics,Calc I,Yes,Yes,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Average,Average,Average,Average,Very unlikely,No,Much less anxiety,Sometimes,Somewhat comfortable,No,"Yes, but not at New College",
Female,White,First Year,undeclared,Calc I,Yes,Yes,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Above average,Average,Above average,Average,Average,Somewhat unlikely,No,A little more anxiety,Sometimes,Neutral,No,No,
Male,White,Third Year,Computer Science,"Calc I, Calc II, Discrete Math, Linear Algebra",No,Yes,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Agree,Agree,Well above average,Above average,Well above average,Above average,Above average,Somewhat likely,No,A little less anxiety,Never,Somewhat comfortable,No,No,
Female,White,First Year,Undeclared,No math courses at New College,No,Yes,Neutral,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Agree,Average,Below average,Average,Below average,Average,Somewhat likely,No,Much more anxiety,Sometimes,Very out of place,No,No,
Female,White,Fourth Year,Biology/Chemistry,"Calc I, Calc II",No,Yes,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly disagree,Agree,Above average,Above average,Average,Average,Average,Very unlikely,No,About the same,Rarely,Somewhat comfortable,No,No,
Male,White,Fifth or more,Psychology,Additional math courses not listed,No,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Above average,Well above average,Average,Average,Very unlikely,No,About the same,Never,Neutral,No,No,
Female,White,Fifth or more,Data Science,Additional math courses not listed,Yes,Yes,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Average,Well above average,Above average,Above average,Somewhat unlikely,No,Much less anxiety,Often,Somewhat out of place,"Yes, at New College and possibly elsewhere",No,
Male,White,Third Year,International and Area Studies / History,No math courses at New College,No,Yes,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Average,Well below average,Below average,Below average,Somewhat unlikely,Yes,A little more anxiety,Never,Somewhat comfortable,No,No,
Male,White,First Year,Undeclared,Calc I,No,Maybe,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Well above average,Average,Average,Above average,Average,Somewhat unlikely,No,A little less anxiety,Never,Somewhat comfortable,No,No,
Female,White,Fifth or more,Data Science,No math courses at New College,Yes,Yes,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Well above average,Above average,Above average,Above average,Above average,Somewhat unlikely,No,About the same,Sometimes,Somewhat comfortable,No,No,"I am a graduate student here at New College, but I have my B.A. in Applied Mathematics from Stetson University"
Male,"Hispanic or Latino, White",Fifth or more,Data Science (Master's Degree),"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Well above average,Well above average,Well above average,Well above average,Very unlikely,No,About the same,Never,Very comfortable,No,No,
Female,White,First Year,Environmental Science/Marine Biology,Mathematics for the sciences,No,Maybe,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Above average,Average,Above average,Above average,Average,Very unlikely,No,About the same,Never,Somewhat comfortable,"Yes, but not at New College",No,
Male,"Hispanic or Latino, White",Second Year,Political Sciencr,No math courses at New College,Yes,Yes,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Average,Average,Average,Average,Somewhat likely,No,Much more anxiety,Rarely,Neutral,No,No,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
